Customer ID,Age,Gender,Annual Income,Spending Score,Age Group,Income group
d410ea53-6661-42a9-ad3a-f554b05fd2a7,30.00,Male,151479.00,89.00,Adult,High
1770b26f-493f-46b6-837f-4237fb5a314e,58.00,Female,185088.00,95.00,Middle Age,High
e81aa8eb-1767-4b77-87ce-1620dc732c5e,62.00,Female,70912.00,76.00,Senior,Medium
9795712a-ad19-47bf-8886-4f997d6046e3,23.00,Male,55460.00,57.00,Young,Medium
64139426-2226-4cd6-bf09-91bce4b4db5e,24.00,Male,153752.00,76.00,Young,High
7e211337-e92f-4140-8231-5c9ac7a2aa12,42.00,Male,158335.00,40.00,Middle Age,High
30661d57-eeb5-4886-970a-9c7d0f260ad8,27.00,Female,163501.00,37.00,Adult,High
43417ade-6b17-431e-ae76-d8ed26aa46ac,24.00,Male,70476.00,17.00,Young,Medium
86f73b1a-6a91-4d7e-ad21-0aefcf6111cc,83.00,Male,47743.00,34.00,Senior,Low
b20fe0a0-e254-4116-b804-5403bb2f59ea,62.00,Female,63448.00,3.00,Senior,Medium
49ba3e9d-a590-4303-b443-e794d0364c11,37.00,Male,170566.00,75.00,Adult,High
4be5f5b0-83f6-4bd2-9056-18a8d5414066,63.00,Female,89355.00,80.00,Senior,Medium
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25.00,Male,87576.00,17.00,Young,Medium
caa4ad5a-51b2-4af1-91cb-e2802f620239,32.00,Female,159892.00,96.00,Adult,High
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51.00,Female,135079.00,87.00,Middle Age,High
dc35a079-c3db-44f4-8612-d0af9daea414,64.00,Female,32869.00,81.00,Senior,Low
b43f995c-c9ab-4c58-8f71-949de233ac71,19.00,Male,198682.00,82.00,Young,High
51d7be3e-84c9-464a-85e8-0a95b568d90e,89.00,Male,38708.00,97.00,Senior,Low
8bbbdbbe-7f8a-4c9c-afed-f6969f49e9ac,65.00,Male,87270.00,3.00,Senior,Medium
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26.00,Male,45518.00,12.00,Adult,Low
05948202-e483-482a-9c02-6a655498002b,21.00,Male,199879.00,49.00,Young,High
6d6d557d-41c3-4992-9ef3-f7d113c78649,70.00,Male,163828.00,36.00,Senior,High
dd6223b5-5aae-468b-b936-618b513d4e70,24.00,Male,109188.00,6.00,Young,High
9c702610-d6ce-48fe-9857-9e295e161ceb,39.00,Female,48212.00,36.00,Adult,Low
1fd446a8-109c-4314-92a2-a1e731923744,61.00,Male,141596.00,45.00,Senior,High
65348b4f-9170-4edc-b035-cc484416face,19.00,Female,192492.00,57.00,Young,High
c2fd4929-fc3e-423a-8dd9-1fb239ef4de6,79.00,Male,109550.00,7.00,Senior,High
eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61.00,Female,38132.00,15.00,Senior,Low
896aef6f-4dc1-4b4a-8805-68ced6971458,73.00,Female,170959.00,55.00,Senior,High
5963ff82-b2de-453f-bffe-4fed059e18ae,58.00,Male,80731.00,23.00,Middle Age,Medium
e8db83f2-90bf-410e-bd1a-7c9ee14ca32b,90.00,Female,123085.00,25.00,Senior,High
59052529-9a68-4936-93db-43cc1d541e84,39.00,Female,135748.00,95.00,Adult,High
767f9ffd-7211-4045-a1d0-f700220928dc,35.00,Female,71372.00,52.00,Adult,Medium
ace9492b-bf39-47eb-8f28-6f85b9cc8973,79.00,Male,164259.00,96.00,Senior,High
cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57.00,Female,105742.00,7.00,Middle Age,High
c5e56dd8-5a20-4bd9-bbc0-97c380553084,76.00,Male,189412.00,87.00,Senior,High
96892d38-cadf-4409-83d8-1b7a3b37b05a,40.00,Male,64309.00,62.00,Adult,Medium
068b3da4-216a-4157-9474-929a1a10cb6d,82.00,Female,84966.00,66.00,Senior,Medium
daf07560-6a2e-47af-9c4b-66a63b93ac34,84.00,Female,35701.00,5.00,Senior,Low
b818a1f8-fdff-41a3-b1ca-de3faee17f81,56.00,Female,43376.00,52.00,Middle Age,Low
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21.00,Female,118137.00,43.00,Young,High
d5e8bfcc-51e1-44b2-a59d-9174d10efb97,55.00,Male,77165.00,86.00,Middle Age,Medium
d29643f1-551e-4353-a560-cf4e6797e003,24.00,Male,119922.00,80.00,Young,High
3e260c72-5788-4641-8dad-9cc7a4eaafef,45.00,Male,82425.00,39.00,Middle Age,Medium
f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28.00,Male,149778.00,15.00,Adult,High
7c3297d0-408b-4e5e-9c4c-abc9816af35a,67.00,Female,129484.00,80.00,Senior,High
01552f1a-7600-4641-bed4-8e255b8c61d3,69.00,Female,73479.00,77.00,Senior,Medium
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26.00,Female,81259.00,29.00,Adult,Medium
b6e3dfc4-1a49-4424-a0d9-d0f796002933,45.00,Male,147126.00,1.00,Middle Age,High
